datetime,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-03-20 18:42:29,20,19,10.2,67,8.3,0.0,24140.0
2024-03-20 18:54:15,20,19,9.9,68,8.2,0.0,24140.0
2024-03-20 19:14:55,20,20,9.8,69,8.2,0.0,24140.0
2024-03-20 19:38:36,20,15,9.3,67,7.7,0.0,24140.0
2024-03-20 20:18:27,20,8,8.6,71,6.9,0.0,24140.0
2024-03-20 20:40:37,20,10,8.6,71,6.8,0.0,24140.0
2024-03-20 21:17:10,20,13,8.2,72,6.7,0.0,24140.0
2024-03-20 21:38:43,20,12,8.0,73,6.4,0.0,24140.0
2024-03-20 22:15:29,20,15,7.4,76,5.7,0.0,24140.0
2024-03-20 22:38:55,20,14,6.6,83,4.7,0.0,24140.0
2024-03-20 23:18:54,20,13,6.7,82,4.9,0.0,24140.0
2024-03-20 23:38:34,20,13,6.7,81,5.0,0.0,24140.0
2024-03-21 01:12:25,20,14,6.4,82,4.5,0.0,24140.0
2024-03-21 02:06:03,20,14,5.3,83,3.4,0.0,24140.0
2024-03-21 02:39:07,20,14,5.3,82,3.5,0.0,24140.0
2024-03-21 03:19:14,20,14,5.2,83,3.3,0.0,24140.0
2024-03-21 03:38:41,20,14,5.0,83,3.2,0.0,24140.0
2024-03-21 04:21:13,20,14,4.6,86,2.8,0.0,24140.0
2024-03-21 04:39:01,20,14,3.7,94,1.8,0.0,24140.0
2024-03-21 05:16:05,20,12,2.7,100,0.7,0.0,24140.0
2024-03-21 05:38:56,20,8,2.5,100,0.6,0.0,24140.0
2024-03-21 06:21:55,20,4,3.0,97,1.0,0.0,24140.0
2024-03-21 06:40:49,20,17,3.8,93,1.8,0.0,24140.0
2024-03-21 07:16:24,20,6,6.1,81,4.1,0.0,24140.0
2024-03-21 07:38:36,20,1,7.6,76,5.7,0.0,24140.0
2024-03-21 08:20:42,20,0,10.1,67,8.3,0.0,24140.0
2024-03-21 08:39:33,20,1,11.1,64,9.3,0.0,24140.0
2024-03-21 09:16:46,20,12,13.2,57,11.6,0.0,24140.0
2024-03-21 09:38:29,20,7,13.9,55,12.5,0.0,24140.0
2024-03-21 10:17:05,20,2,15.6,49,14.3,0.0,24140.0
2024-03-21 10:39:06,20,5,16.1,46,14.9,0.0,24140.0
2024-03-21 11:14:56,20,6,16.4,47,15.0,0.0,24140.0
2024-03-21 11:38:30,20,6,17.0,46,15.8,0.0,24140.0
2024-03-21 12:30:21,20,9,17.7,47,16.0,0.0,24140.0
2024-03-21 12:52:05,20,4,17.8,48,15.9,0.0,24140.0
2024-03-21 13:21:12,20,7,17.6,49,15.7,0.0,24140.0
2024-03-21 13:38:47,20,6,17.1,47,15.6,0.0,24140.0
2024-03-21 14:16:17,20,11,16.6,51,15.6,0.1,24140.0
2024-03-21 14:38:34,20,10,16.4,52,15.4,0.1,24140.0
2024-03-21 15:18:22,20,13,15.9,56,14.8,0.0,24140.0
2024-03-21 15:40:03,20,13,15.8,58,14.9,0.0,24140.0
2024-03-21 16:23:26,20,19,15.2,63,14.7,0.0,24140.0
